Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,ShortenedLink,ISBN
My Dog's Life: A Photo Journal of Unconditional Love,,['Dewar Designs LLC'],,http://books.google.nl/books?id=u2NWAAAACAAJ&dq=My+Dog%27s+Life:+A+Photo+Journal+of+Unconditional+Love&hl=&cd=1&source=gbs_api,,2001-09-01,http://books.google.nl/books?id=u2NWAAAACAAJ&dq=My+Dog%27s+Life:+A+Photo+Journal+of+Unconditional+Love&hl=&source=gbs_api,,,http://books.google.nl/books?id=u2NWAAAACAAJ,"0971198500, 9780971198500"
The Complete Works of Nathanael West,,['Nathanael West'],,http://books.google.nl/books?id=8P1fmQEACAAJ&dq=The+Complete+Works+of+Nathanael+West&hl=&cd=1&source=gbs_api,,1986,http://books.google.nl/books?id=8P1fmQEACAAJ&dq=The+Complete+Works+of+Nathanael+West&hl=&source=gbs_api,['Nineteen thirties'],2.0,http://books.google.nl/books?id=8P1fmQEACAAJ,
"albert einstein, young thinker [ Childhood of Famous Americans series]",Presents the early life of the German-born physicist whose theory of relativity revolutionized scientific thinking.,['Marie Hammontree'],http://books.google.com/books/content?id=tr7qTAGjuqIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=tr7qTAGjuqIC&printsec=frontcover&dq=albert+einstein,+young+thinker+%5B+Childhood+of+Famous+Americans+series%5D&hl=&cd=1&source=gbs_api",Simon and Schuster,1986-10-31,"http://books.google.nl/books?id=tr7qTAGjuqIC&dq=albert+einstein,+young+thinker+%5B+Childhood+of+Famous+Americans+series%5D&hl=&source=gbs_api",['Juvenile Fiction'],1.0,http://books.google.nl/books?id=tr7qTAGjuqIC,"0020418604, 9780020418603"
Hypatia or New Foes with an Old Face,"This book is part of the TREDITION CLASSICS series. The creators of this series are united by passion for literature and driven by the intention of making all public domain books available in printed format again - worldwide. At tredition we believe that a great book never goes out of style. Several mostly non-profit literature projects provide content to tredition. To support their good work, tredition donates a portion of the proceeds from each sold copy. As a reader of a TREDITION CLASSICS book, you support our mission to save many of the amazing works of world literature from oblivion.",['Charles Kingsley'],http://books.google.com/books/content?id=wX9EtQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=wX9EtQAACAAJ&dq=Hypatia+or+New+Foes+with+an+Old+Face&hl=&cd=1&source=gbs_api,Tredition Classics,2011-11,http://books.google.nl/books?id=wX9EtQAACAAJ&dq=Hypatia+or+New+Foes+with+an+Old+Face&hl=&source=gbs_api,,,http://books.google.nl/books?id=wX9EtQAACAAJ,"3842462530, 9783842462533"
Daughter of the Reef,,,,,,,,,,,
The Scarlet Letter A Romance,,,,,,,,,,,
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),"Readers will take pleasure in discovering the classics through these beautifully packaged and affordably priced editions of famous works of literature from all over the world. A variety of periods, themes, and authors is represented.",['José Hernández'],http://books.google.com/books/content?id=-JkYG3eYlREC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=-JkYG3eYlREC&pg=PR3&dq=El+Gaucho+Martin+Fierro/the+Gaucho+Martin+Fierro+(Bilingual+Edition)+(Spanish+Edition)&hl=&cd=1&source=gbs_api,SUNY Press,1967-01-01,http://books.google.nl/books?id=-JkYG3eYlREC&dq=El+Gaucho+Martin+Fierro/the+Gaucho+Martin+Fierro+(Bilingual+Edition)+(Spanish+Edition)&hl=&source=gbs_api,['Poetry'],3.0,http://books.google.nl/books?id=-JkYG3eYlREC,"0873950267, 9780873950268"
Alexander Campbell and Thomas Jefferson: A comparative study of two old Virginians,,['Leroy Garrett'],http://books.google.com/books/content?id=QYNLAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=QYNLAAAAYAAJ&q=Alexander+Campbell+and+Thomas+Jefferson:+A+comparative+study+of+two+old+Virginians&dq=Alexander+Campbell+and+Thomas+Jefferson:+A+comparative+study+of+two+old+Virginians&hl=&cd=1&source=gbs_api,,1963,http://books.google.nl/books?id=QYNLAAAAYAAJ&dq=Alexander+Campbell+and+Thomas+Jefferson:+A+comparative+study+of+two+old+Virginians&hl=&source=gbs_api,,,http://books.google.nl/books?id=QYNLAAAAYAAJ,
Dead Sexy,"In The Still Of The Night The city is in a panic. In the still of the night, a vicious killer is leaving a trail of mutilated bodies drained of blood. A chilling M.O. that puts ex-vampire hunter Regan Delaney on the case, her gun clip packed with silver bullets, her instincts edgy. But the victims are both human and Undead, and the clues are as confusing as the vampire who may be her best ally--she hopes. . . Master of the City, Joaquin Santiago radiates supernatural power like heat from a blast furnace, but he's never met a creature like Regan Delaney. She intrigues him, fires his hunger, and unleashes his desire, but before he can enter her world, or she his, they must confront a vicious, elusive killer who is an enemy even to his own. . . ""Sexy, fast-paced, gritty, this is Amanda Ashley at her best! A must read!"" --Ronda Thompson",['Amanda Ashley'],http://books.google.com/books/content?id=AiRjAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=AiRjAwAAQBAJ&pg=PP1&dq=Dead+Sexy&hl=&cd=1&source=gbs_api,Zebra Books                   ,2013-10-07,https://play.google.com/store/books/details?id=AiRjAwAAQBAJ&source=gbs_api,['Fiction'],4.0,http://books.google.nl/books?id=AiRjAwAAQBAJ,"1420129139, 9781420129137"
"""Eagle forgotten.""",,,,,,,,,,,
